CVE_ESTADO,NOM_ESTADO,CLAVE_MUN,NOM_MUN,AMBITO,POB_TOTAL,PCT_POBREZA,PCT_Carencia_Servicios_Basicos_Vivienda,PCT_Carencia_Calidad_Espacio_Vivienda,PCT_Carencia_Servicios_Salud
8,Chihuahua,8002,Aldama,Ámbito de residencia: rural,7040,13.240516,1.523838,4.026172,7.047373
8,Chihuahua,8003,Allende,Ámbito de residencia: rural,3752,21.971549,,,
8,Chihuahua,8004,Aquiles Serdán,Ámbito de residencia: rural,1370,,,,
8,Chihuahua,8005,Ascensión,Ámbito de residencia: rural,3802,,,,
8,Chihuahua,8006,Bachíniva,Ámbito de residencia: rural,6040,,9.183673,5.119634,9.095707
8,Chihuahua,8007,Balleza,Ámbito de residencia: rural,17100,64.339343,61.608764,35.374022,14.253521
8,Chihuahua,8008,Batopilas de Manuel Gómez Morín,Ámbito de residencia: rural,11723,92.211318,84.093427,64.198671,12.915436
8,Chihuahua,8009,Bocoyna,Ámbito de residencia: rural,8219,73.384823,81.408398,30.749066,
8,Chihuahua,8010,Buenaventura,Ámbito de residencia: rural,4867,,,,
8,Chihuahua,8011,Camargo,Ámbito de residencia: rural,7235,,,,13.960035
8,Chihuahua,8012,Carichí,Ámbito de residencia: rural,8439,55.319082,57.724808,40.988775,20.557447
8,Chihuahua,8013,Casas Grandes,Ámbito de residencia: rural,5167,21.698034,7.998524,,30.806093
8,Chihuahua,8014,Coronado,Ámbito de residencia: rural,2116,,,,10.151515
8,Chihuahua,8015,Coyame del Sotol,Ámbito de residencia: rural,1279,,,,
8,Chihuahua,8016,La Cruz,Ámbito de residencia: rural,3853,15.211592,,,9.400998
8,Chihuahua,8017,Cuauhtémoc,Ámbito de residencia: rural,38931,,,8.916479,14.890071
8,Chihuahua,8018,Cusihuiriachi,Ámbito de residencia: rural,5304,28.435191,,8.647893,9.067306
8,Chihuahua,8019,Chihuahua,Ámbito de residencia: rural,12352,,,9.407826,25.993588
8,Chihuahua,8020,Chínipas,Ámbito de residencia: rural,6472,52.323714,45.943272,29.617414,
8,Chihuahua,8021,Delicias,Ámbito de residencia: rural,11549,22.892497,,,29.011787
8,Chihuahua,8022,Dr. Belisario Domínguez,Ámbito de residencia: rural,2555,38.145455,,,7.315011
8,Chihuahua,8023,Galeana,Ámbito de residencia: rural,4860,22.565455,,10.201401,36.186515
8,Chihuahua,8024,Santa Isabel,Ámbito de residencia: rural,3943,,,4.513129,10.257112
8,Chihuahua,8025,Gómez Farías,Ámbito de residencia: rural,2491,,21.239316,,2.564103
8,Chihuahua,8026,Gran Morelos,Ámbito de residencia: rural,2546,23.193124,,4.159593,6.791171
8,Chihuahua,8027,Guachochi,Ámbito de residencia: rural,30123,70.425099,73.283209,51.441383,22.192376
8,Chihuahua,8028,Guadalupe,Ámbito de residencia: rural,4407,19.714142,,4.898267,
8,Chihuahua,8029,Guadalupe y Calvo,Ámbito de residencia: rural,39463,76.105435,67.37743,43.013754,14.3517
8,Chihuahua,8030,Guazapares,Ámbito de residencia: rural,5019,74.853976,69.366873,49.09401,9.187806
8,Chihuahua,8031,Guerrero,Ámbito de residencia: rural,17308,33.013606,,,15.099687
